name,quantity,region,service_id,sku,product_description,"unit_price, USD","total_price, USD"
Regional Kubernetes Clusters,730,global,CCD8-9BF1-090E,B561-BFBD-1264,CP-GKE-CONTAINER-MANAGMENT-COST-REGIONAL,0.1,73
g1-small,730,us-central1,6F81-5844-456A,Look up for SKU https://cloud.google.com/skus/?currency=USD&filter=6F81-5844-456A,CP-COMPUTEENGINE-VMIMAGE-G1-SMALL,0.0189,13.797
Networking Cloud Nat Gateway Uptime,1,global,E505-1604-58F8,32E2-4EFC-EF9F,CP-NETWORK-SERVICES-CLOUD-NAT-UPTIME-LOW-VM-NUMBER,0.0014,1.022
Networking Cloud Nat Data Processing,100,global,E505-1604-58F8,015F-5732-FFF0,CP-NETWORK-SERVICES-CLOUD-NAT-TRAFFIC,0.045,4.5
N1 Predefined Instance Core running in Americas,730,us-central1,6F81-5844-456A,2E27-4F75-95CD,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,0.031611,23.07603
N1 Predefined Instance Ram running in Americas,2737.5,us-central1,6F81-5844-456A,6C71-E844-38BC,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,0.004237,11.5987875
N1 Predefined Instance Core running in Americas,730,us-central1,6F81-5844-456A,2E27-4F75-95CD,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,0.031611,23.07603
N1 Predefined Instance Ram running in Americas,2737.5,us-central1,6F81-5844-456A,6C71-E844-38BC,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,0.004237,11.5987875
N1 Predefined Instance Core running in Americas,730,us-central1,6F81-5844-456A,2E27-4F75-95CD,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,0.031611,23.07603
N1 Predefined Instance Ram running in Americas,2737.5,us-central1,6F81-5844-456A,6C71-E844-38BC,CP-COMPUTEENGINE-VMIMAGE-N1-STANDARD-1,0.004237,11.5987875
Storage PD Capacity,10,us-central1,6F81-5844-456A,D973-5D65-BAB2,CP-COMPUTEENGINE-STORAGE-PD-READONLY,0,0
SSD backed PD Capacity,90,us-central1,6F81-5844-456A,B188-61DD-52E4,CP-COMPUTEENGINE-STORAGE-PD-READONLY,0.17,15.3
,,,,,,,
,,,,,,Total Price:,211.6434525
